sex,GPA,SATverb,SATmath,Acteng,ACTmath,ACTss,ACTcomp,HSPct,EconGPA
0,3.390000105,63,73,NA,NA,NA,NA,99,3.712500095
1,2.410000086,49,57,21,24,19,23,83,2.14289999
0,2.799999952,NA,NA,14,28,23,23,90,2.67779994
1,3.799999952,56,61,NA,NA,NA,NA,99,3.950000048
0,3.210000038,NA,NA,22,30,32,29,94,3.488899946
0,3.140000105,65,62,24,27,30,27,88,3.144399881
0,2.730000019,NA,NA,23,27,26,26,93,2.549999952
0,3.619999886,53,59,23,30,32,28,89,3.869999886
0,3.329999924,48,73,20,33,22,26,93,3.549999952
1,2.940000057,NA,NA,22,28,23,26,94,2.279999971
0,3.059999943,52,67,NA,NA,NA,NA,66,3.266700029
0,2.920000076,NA,NA,22,24,23,25,59,2.614300013
0,2.75,NA,NA,20,25,26,23,87,2.636399984
0,2.940000057,66,64,25,30,29,29,87,2.528599977
0,2.75999999,56,60,23,26,28,27,78,3.044399977
0,2.390000105,NA,NA,21,26,26,26,79,1.933300018
1,2.410000086,49,57,21,24,19,23,83,2.14289999
1,3.319999933,60,76,29,31,30,30,96,3.444400072
0,2.440000057,NA,NA,18,22,14,21,79,2.125
0,3.619999886,53,59,23,30,32,28,89,3.869999886
0,3.150000095,64,62,22,27,31,28,70,3.614300013
0,3.50999999,53,68,NA,NA,NA,NA,94,3.566699982
0,3.00999999,NA,NA,NA,NA,NA,NA,83,2.922199965
1,3.569999933,NA,NA,NA,NA,NA,NA,97,3.599999905
0,2.890000105,NA,NA,22,29,22,25,85,2.883300066
0,2.660000086,44,49,NA,NA,NA,NA,66,2.166699886
0,3.079999924,NA,NA,19,25,24,24,88,3.111099958
0,2.50999999,NA,NA,26,25,27,27,85,2.528599977
1,2.430000067,NA,NA,20,23,22,23,91,2.518199921
0,3.329999924,48,73,20,33,22,26,93,3.549999952
0,2.329999924,NA,NA,19,24,28,24,73,2.099999905
0,3.730000019,NA,NA,23,26,30,28,90,3.875
0,3.109999895,55,80,NA,NA,NA,NA,95,2.733299971
1,3.410000086,NA,NA,26,27,24,26,72,3.32859993
0,3.079999924,NA,NA,19,25,24,24,88,3.111099958
0,2.339999914,NA,NA,26,29,24,27,82,2.255599976
0,3.380000114,NA,NA,29,26,31,30,92,3.488899946
1,2.519999981,44,35,NA,NA,NA,NA,62,2.236399889
1,3.349999905,51,60,NA,NA,NA,NA,96,3.549999952
0,3.00999999,NA,NA,19,24,20,22,78,3.042900085
1,3.660000086,NA,NA,22,21,30,24,97,3.900000095
0,3.680000067,NA,NA,25,33,31,30,96,3.571399927
0,2.950000048,NA,NA,23,34,24,28,77,2.587500095
1,2.349999905,42,53,23,26,19,23,78,2.442899942
0,2.720000029,NA,NA,17,20,22,19,87,2.589999914
1,3.799999952,56,61,NA,NA,NA,NA,99,3.950000048
0,3.019999981,48,55,NA,NA,NA,NA,93,3.011100054
1,3.569999933,NA,NA,NA,NA,NA,NA,97,3.599999905
1,2.349999905,42,53,23,26,19,23,78,2.442899942
0,2.890000105,NA,NA,22,29,22,25,85,2.883300066
0,3.720000029,58,75,28,36,32,32,96,3.862499952
0,2.779999971,38,60,NA,NA,NA,NA,NA,2.859999895
0,3.559999943,58,67,23,32,30,29,97,3.444400072
0,3.410000086,NA,NA,22,26,30,27,87,3.299999952
0,2.50999999,NA,NA,26,25,27,27,85,2.528599977
0,2.829999924,53,61,22,26,31,27,78,2.940000057
1,3.599999905,57,68,26,31,23,28,93,3.488899946
0,2.440000057,NA,NA,18,22,14,21,79,2.125
0,2.970000029,NA,NA,18,26,22,24,89,2.727299929
0,3.289999962,52,66,NA,NA,NA,NA,96,3
1,3.400000095,69,67,25,33,33,31,95,3.385699987
0,3.50999999,53,68,NA,NA,NA,NA,94,3.566699982
0,2.470000029,31,48,18,27,24,23,75,2.412499905
1,3.430000067,68,54,25,26,34,29,94,3.400000095
0,2.970000029,NA,NA,18,26,22,24,89,2.727299929
1,2.569999933,NA,NA,NA,NA,NA,NA,89,2.411099911
0,3.119999886,61,60,24,29,28,29,57,2.859999895
1,3.069999933,46,56,NA,NA,NA,NA,93,2.674999952
1,3.650000095,68,71,NA,NA,NA,NA,96,3.633300066
0,2.890000105,58,45,NA,NA,NA,NA,NA,2.781800032
1,3.309999943,62,74,NA,NA,NA,NA,96,3.266700029
0,2.920000076,NA,NA,28,28,28,26,91,2.116699934
0,3.079999924,43,61,23,28,24,25,91,3.529999971
0,3.569999933,NA,NA,NA,NA,NA,NA,98,3.674999952
0,2.730000019,NA,NA,23,27,26,26,93,2.549999952
0,2.890000105,58,45,NA,NA,NA,NA,NA,2.781800032
0,3.369999886,59,63,NA,NA,NA,NA,78,3.400000095
1,2.849999905,NA,NA,23,21,16,21,89,2.75
0,3.869999886,57,69,NA,NA,NA,NA,99,3.85710001
0,3.369999886,59,63,NA,NA,NA,NA,78,3.400000095
0,2.730000019,NA,NA,23,27,26,26,93,2.549999952
1,2.430000067,NA,NA,20,23,22,23,91,2.518199921
0,2.890000105,NA,NA,22,29,22,25,85,2.883300066
1,2.410000086,49,57,21,24,19,23,83,2.14289999
0,3.089999914,48,56,NA,NA,NA,NA,77,2.85710001
0,2.920000076,NA,NA,28,28,28,26,91,2.116699934
0,3.25,63,65,NA,NA,NA,NA,88,2.950000048
1,2.549999952,39,61,22,26,21,22,97,1.799999952
1,3.319999933,60,76,29,31,30,30,96,3.444400072
0,2.710000038,42,65,19,29,26,26,86,2.690900087
0,2.920000076,NA,NA,22,24,23,25,59,2.614300013
0,3.089999914,48,56,NA,NA,NA,NA,77,2.85710001
0,2.329999924,NA,NA,19,24,28,24,73,2.099999905
0,2.119999886,42,41,22,21,20,22,46,2.288899899
